#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA06E2
#Date Time: 2025-04-01 17:17:32.637.822.900
#Sample rate: 27.307Hz
#Samples: 15765
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.000310592 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9988049723 V

Time (s),Channel 1 (V),Channel 2 (V)
-292.9652,0.01696913180733318,0.3647639337704196
-292.92857935,0.0897796158267638,2.496501570958466
-292.8919587,0.08618403636901414,2.519887722252512
-292.85533805,0.08888072096232638,2.527083461112219
-292.8187174,0.08888072096232066,2.5225861243249
-292.78209675,0.08258845691126449,2.519887722252512
-292.7454761,0.09966745933557208,2.538776536759266
-292.70885545,0.0960718798778257,2.565760557483141
-292.6722348,0.08168956204684014,2.555866416551054
-292.63561415,0.1068586182510747,2.539676004116705
-292.5989935,0.08708293123345157,2.549570145048802
-292.56237285,0.103263038793325,2.536977602044315
-292.5257522,0.08888072096232638,2.534279199971925
-292.48913155,0.08977961582676708,2.513591450750292
-292.4525109,0.09337519528451346,2.538776536759242
-292.41589025,0.07989177231796452,2.535178667329392
-292.3792696,0.09247630042007604,2.532480265256999
-292.34264895,0.06371166475810493,2.539676004116699
-292.3060283,0.0727006134024529,2.542374406189095
-292.26940765,0.05472271611370461,2.533379732614462
-292.232787,0.06101498016476407,2.531580797899524
-292.19616635,0.05831829557145427,2.518988254895049
-292.1595457,0.05562161097814448,2.540575471474156
-292.12292505,0.05831829557145427,2.527083461112219
-292.0863044,0.06101498016476407,2.531580797899531
-292.04968375,0.05921719043589169,2.578353100487627
-292.0130631,0.0520260315203989,2.529781863184653
-291.97644245,0.0601160853003291,2.544173340904022
-291.9398218,0.06910503394470324,2.562162688053288
-291.90320115,0.04573376746932555,2.524385059039849
-291.8665805,0.04034039828270597,2.545972275618948
-291.82995985,0.05382382124924676,2.529781863184606
-291.7933392,0.03135144963833182,2.527083461112219
-291.75671855,0.04123929314713439,2.526183993754756
-291.7200979,0.04573376746933046,2.554067481836118
-291.68347725,0.05112713665595005,2.548670677691343
-291.6468566,0.04843045206264271,2.506395711890563
-291.61023595,0.06550945448695358,2.540575471474169
-291.5736153,0.07090282367358218,2.54057547147415
-291.53699465,0.07539729799576517,2.520787189609976
-291.500374,0.07449840313134001,2.538776536759228
-291.46375335,0.08798182609788896,2.523485591682366
-291.4271327,0.08528514150457918,2.520787189609978
-291.39051205,0.07090282367357809,2.532480265256999
-291.3538914,0.07629619286019766,2.531580797899536
-291.31727075,0.06461055962251619,2.536977602044315
-291.2806501,0.0601160853003291,2.531580797899535
-291.24402945,0.05921719043588514,2.552268547121184
-291.2074088,0.05202603152039237,2.544173340904022
-291.17078815,0.06011608530031684,2.5468717429764
-291.1341675,0.04663266233376787,2.534279199971925
